"date","price"
24-Sep-20,35.05
25-Sep-20,35.05
28-Sep-20,35.05
29-Sep-20,35.05
30-Sep-20,35.02
1-Oct-20,35
2-Oct-20,34.95
5-Oct-20,34.85
6-Oct-20,34.80
7-Oct-20,34.70
8-Oct-20,34.75
9-Oct-20,34.80
12-Oct-20,34.85
13-Oct-20,35.02
14-Oct-20,34.85
15-Oct-20,34.95
16-Oct-20,34.95
19-Oct-20,34.95
20-Oct-20,34.95
21-Oct-20,35.05
22-Oct-20,35.05
23-Oct-20,35.15
27-Oct-20,35.07
28-Oct-20,35.05
29-Oct-20,35.10
30-Oct-20,35.12
2-Nov-20,35.10
3-Nov-20,35.10
4-Nov-20,35.12
5-Nov-20,35.12
6-Nov-20,35.12
9-Nov-20,35.12
10-Nov-20,35.12
11-Nov-20,35.20
12-Nov-20,35.22
16-Nov-20,35.30
17-Nov-20,35.40
18-Nov-20,35.50
19-Nov-20,35.80
20-Nov-20,35.80
23-Nov-20,35.75
24-Nov-20,35.80
25-Nov-20,35.80
26-Nov-20,35.75
27-Nov-20,35.80
30-Nov-20,35.80
1-Dec-20,35.80
2-Dec-20,35.80
3-Dec-20,36
4-Dec-20,36.25
7-Dec-20,36.60
8-Dec-20,37.20
9-Dec-20,37.55
10-Dec-20,38.00
11-Dec-20,38.05
14-Dec-20,38.00
15-Dec-20,37.80
17-Dec-20,37.60
18-Dec-20,37.60
21-Dec-20,37.65
22-Dec-20,37.65
24-Dec-20,37.60
29-Dec-20,37.55
30-Dec-20,37.55
31-Dec-20,37.55
5-Jan-21,37.62
6-Jan-21,37.67
7-Jan-21,37.67
8-Jan-21,37.67
11-Jan-21,37.57
12-Jan-21,37.67
13-Jan-21,37.95
14-Jan-21,38.20
15-Jan-21,38.40
18-Jan-21,38.45
19-Jan-21,38.20
20-Jan-21,38.40
21-Jan-21,38.40
22-Jan-21,38.32
25-Jan-21,38.40
26-Jan-21,38.40
27-Jan-21,38.40
28-Jan-21,38.50
29-Jan-21,38.50
2-Feb-21,38.50
3-Feb-21,39.60
4-Feb-21,39.50
5-Feb-21,39.50
9-Feb-21,39.40
10-Feb-21,39.10
11-Feb-21,39.10
12-Feb-21,39.20
15-Feb-21,39.00
16-Feb-21,39.20
17-Feb-21,39.20
18-Feb-21,39.20
19-Feb-21,39.20
22-Feb-21,39.20
23-Feb-21,39.30
24-Feb-21,39.20
25-Feb-21,39.20
