date,headline,url
2014-06-12,Quieter market this week,https://www.carbonnews.co.nz/story.asp?storyID=7790
2014-06-13,Light volume on NZ market,https://www.carbonnews.co.nz/story.asp?storyID=7805
2014-06-16,NZUs consolidate in the mid-$4s,https://www.carbonnews.co.nz/story.asp?storyID=7810
2014-06-17,NZUs sell down on small volume,https://www.carbonnews.co.nz/story.asp?storyID=7811
2014-06-18,NZUs trade to the low $4s,https://www.carbonnews.co.nz/story.asp?storyID=7812
2014-06-19,NZUs trade up to $4.20,https://www.carbonnews.co.nz/story.asp?storyID=7813
2014-06-23,Looking out to 2015,https://www.carbonnews.co.nz/story.asp?storyID=7829
2014-06-27,All quiet on carbon front,https://www.carbonnews.co.nz/story.asp?storyID=7848
2014-06-30,Good support for NZUs in $4 range,https://www.carbonnews.co.nz/story.asp?storyID=7851
2014-07-02,NZUs stuck,https://www.carbonnews.co.nz/story.asp?storyID=7852
2014-07-03,NZUs unchanged,https://www.carbonnews.co.nz/story.asp?storyID=7853
2014-07-04,"No changes in NZ, but EU moves up",https://www.carbonnews.co.nz/story.asp?storyID=7867
2014-07-10,NZUs subdued,https://www.carbonnews.co.nz/story.asp?storyID=7871
2014-07-11,Little trading in NZUs,https://www.carbonnews.co.nz/story.asp?storyID=7882
2014-07-14,Market still quiet,https://www.carbonnews.co.nz/story.asp?storyID=7886
2014-07-15,Small flurry on NZU market,https://www.carbonnews.co.nz/story.asp?storyID=7888
2014-07-16,"Local market quiet, but Europe firm",https://www.carbonnews.co.nz/story.asp?storyID=7887
2014-07-18,NZUs back below $4,https://www.carbonnews.co.nz/story.asp?storyID=7903
2014-07-21,Spot NZUs at $3.95,https://www.carbonnews.co.nz/story.asp?storyID=7904
2014-07-22,Speculators start to return to NZU market,https://www.carbonnews.co.nz/story.asp?storyID=7905
2014-07-23,$4 is the new $3,https://www.carbonnews.co.nz/story.asp?storyID=7906
2014-07-25,Quiet end to week,https://www.carbonnews.co.nz/story.asp?storyID=7922
2014-07-28,Tianjin carbon market volatile,https://www.carbonnews.co.nz/story.asp?storyID=7927
2014-07-29,Spot NZUs hold,https://www.carbonnews.co.nz/story.asp?storyID=7928
2014-07-30,Little change on NZU market,https://www.carbonnews.co.nz/story.asp?storyID=7934
2014-07-31,NZU action around $3.90,https://www.carbonnews.co.nz/story.asp?storyID=7936
2014-08-01,NZU prices down again,https://www.carbonnews.co.nz/story.asp?storyID=7942
2014-08-01,NZU prices down again,https://www.carbonnews.co.nz/story.asp?storyID=7949
2014-08-04,It's buying time again,https://www.carbonnews.co.nz/story.asp?storyID=7964
2014-08-05,NZUs close at $3.95,https://www.carbonnews.co.nz/story.asp?storyID=7969
2014-08-06,Spot NZUs at $3.95,https://www.carbonnews.co.nz/story.asp?storyID=7970
2014-08-13,Sellers staying away,https://www.carbonnews.co.nz/story.asp?storyID=7991
