date,price,url
2014-08-28,4.0,https://www.carbonnews.co.nz/story.asp?storyID=8041
2014-08-29,4.0,https://www.carbonnews.co.nz/story.asp?storyID=8042
2014-09-01,4.25,https://www.carbonnews.co.nz/story.asp?storyID=8058
2014-09-02,4.2,https://www.carbonnews.co.nz/story.asp?storyID=8059
2014-09-03,4.35,https://www.carbonnews.co.nz/story.asp?storyID=8060
2014-09-04,4.45,https://www.carbonnews.co.nz/story.asp?storyID=8061
2014-09-05,4.4,https://www.carbonnews.co.nz/story.asp?storyID=8062
2014-09-08,4.3,https://www.carbonnews.co.nz/story.asp?storyID=8080
2014-09-09,4.5,https://www.carbonnews.co.nz/story.asp?storyID=8087
2014-09-11,4.5,https://www.carbonnews.co.nz/story.asp?storyID=8088
2014-09-12,4.5,https://www.carbonnews.co.nz/story.asp?storyID=8089
2014-09-15,4.47,https://www.carbonnews.co.nz/story.asp?storyID=8096
2014-09-17,4.4,https://www.carbonnews.co.nz/story.asp?storyID=8109
2014-09-18,4.5,https://www.carbonnews.co.nz/story.asp?storyID=8110
2014-09-26,4.42,https://www.carbonnews.co.nz/story.asp?storyID=8134
2014-09-29,4.4,https://www.carbonnews.co.nz/story.asp?storyID=8146
2014-09-30,4.4,https://www.carbonnews.co.nz/story.asp?storyID=8158
2014-10-02,4.3,https://www.carbonnews.co.nz/story.asp?storyID=8157
2014-10-06,4.35,https://www.carbonnews.co.nz/story.asp?storyID=8168
2014-10-07,4.35,https://www.carbonnews.co.nz/story.asp?storyID=8174
2014-10-08,4.35,https://www.carbonnews.co.nz/story.asp?storyID=8175
2014-10-09,4.3,https://www.carbonnews.co.nz/story.asp?storyID=8178
2014-10-10,4.4,https://www.carbonnews.co.nz/story.asp?storyID=8179
2014-10-13,4.4,https://www.carbonnews.co.nz/story.asp?storyID=8191
2014-10-14,4.42,https://www.carbonnews.co.nz/story.asp?storyID=8198
2014-10-16,4.45,https://www.carbonnews.co.nz/story.asp?storyID=8200
2014-10-17,4.4,https://www.carbonnews.co.nz/story.asp?storyID=8202
2014-10-20,4.32,https://www.carbonnews.co.nz/story.asp?storyID=8212
2014-10-22,4.3,https://www.carbonnews.co.nz/story.asp?storyID=8217
2014-10-23,4.4,https://www.carbonnews.co.nz/story.asp?storyID=8218
2014-10-29,4.37,https://www.carbonnews.co.nz/story.asp?storyID=8231
2014-10-31,4.4,https://www.carbonnews.co.nz/story.asp?storyID=8232
2014-11-03,4.35,https://www.carbonnews.co.nz/story.asp?storyID=8241
2014-11-04,4.4,https://www.carbonnews.co.nz/story.asp?storyID=8252
2014-11-07,4.35,https://www.carbonnews.co.nz/story.asp?storyID=8253
2014-11-10,4.35,https://www.carbonnews.co.nz/story.asp?storyID=8265
2014-11-12,4.37,https://www.carbonnews.co.nz/story.asp?storyID=8269
2014-11-13,4.25,https://www.carbonnews.co.nz/story.asp?storyID=8271
2014-11-14,4.35,https://www.carbonnews.co.nz/story.asp?storyID=8272
2014-11-17,4.35,https://www.carbonnews.co.nz/story.asp?storyID=8281
2014-11-18,4.4,https://www.carbonnews.co.nz/story.asp?storyID=8292
2014-11-24,4.3,https://www.carbonnews.co.nz/story.asp?storyID=8300
2014-11-28,4.32,https://www.carbonnews.co.nz/story.asp?storyID=8313
2014-12-01,4.55,https://www.carbonnews.co.nz/story.asp?storyID=8325
2014-12-02,4.6,https://www.carbonnews.co.nz/story.asp?storyID=8335
2014-12-03,4.85,https://www.carbonnews.co.nz/story.asp?storyID=8334
2014-12-04,5.0,https://www.carbonnews.co.nz/story.asp?storyID=8337
2014-12-05,5.0,https://www.carbonnews.co.nz/story.asp?storyID=8338
2014-12-08,4.95,https://www.carbonnews.co.nz/story.asp?storyID=8344
2014-12-09,5.0,https://www.carbonnews.co.nz/story.asp?storyID=8353
2014-12-15,5.0,https://www.carbonnews.co.nz/story.asp?storyID=8362
2014-12-17,5.4,https://www.carbonnews.co.nz/story.asp?storyID=8368
2014-12-18,5.4,https://www.carbonnews.co.nz/story.asp?storyID=8369
2014-12-19,5.55,https://www.carbonnews.co.nz/story.asp?storyID=8370
2015-01-20,6.0,https://www.carbonnews.co.nz/story.asp?storyID=8388
2015-01-22,6.0,https://www.carbonnews.co.nz/story.asp?storyID=8387
2015-01-28,6.1,https://www.carbonnews.co.nz/story.asp?storyID=8408
2015-01-30,6.0,https://www.carbonnews.co.nz/story.asp?storyID=8409
2015-02-02,5.95,https://www.carbonnews.co.nz/story.asp?storyID=8421
2015-02-03,6.1,https://www.carbonnews.co.nz/story.asp?storyID=8429
2015-02-11,6.0,https://www.carbonnews.co.nz/story.asp?storyID=8444
2015-02-12,5.95,https://www.carbonnews.co.nz/story.asp?storyID=8445
2015-02-24,5.85,https://www.carbonnews.co.nz/story.asp?storyID=8473
2015-02-26,5.86,https://www.carbonnews.co.nz/story.asp?storyID=8475
2015-02-27,5.9,https://www.carbonnews.co.nz/story.asp?storyID=8474
2015-03-02,5.9,https://www.carbonnews.co.nz/story.asp?storyID=8487
2015-03-03,6.05,https://www.carbonnews.co.nz/story.asp?storyID=8491
2015-03-04,6.15,https://www.carbonnews.co.nz/story.asp?storyID=8492
2015-03-05,6.25,https://www.carbonnews.co.nz/story.asp?storyID=8493
2015-03-06,6.0,https://www.carbonnews.co.nz/story.asp?storyID=8494
2015-03-09,6.0,https://www.carbonnews.co.nz/story.asp?storyID=8500
2015-03-10,6.2,https://www.carbonnews.co.nz/story.asp?storyID=8509
2015-03-11,6.5,https://www.carbonnews.co.nz/story.asp?storyID=8508
2015-03-12,6.35,https://www.carbonnews.co.nz/story.asp?storyID=8507
2015-03-16,6.45,https://www.carbonnews.co.nz/story.asp?storyID=8510
2015-03-17,6.5,https://www.carbonnews.co.nz/story.asp?storyID=8522
2015-03-18,6.35,https://www.carbonnews.co.nz/story.asp?storyID=8523
2015-03-19,6.45,https://www.carbonnews.co.nz/story.asp?storyID=8524
2015-03-20,6.55,https://www.carbonnews.co.nz/story.asp?storyID=8525
2015-03-23,6.47,https://www.carbonnews.co.nz/story.asp?storyID=8526
2015-03-24,6.5,https://www.carbonnews.co.nz/story.asp?storyID=8545
2015-03-26,6.55,https://www.carbonnews.co.nz/story.asp?storyID=8547
2015-03-27,6.4,https://www.carbonnews.co.nz/story.asp?storyID=8548
2015-03-30,6.6,https://www.carbonnews.co.nz/story.asp?storyID=8549
2015-03-31,6.57,https://www.carbonnews.co.nz/story.asp?storyID=8565
2015-04-01,6.6,https://www.carbonnews.co.nz/story.asp?storyID=8564
2015-04-07,6.7,https://www.carbonnews.co.nz/story.asp?storyID=8579
2015-04-08,6.5,https://www.carbonnews.co.nz/story.asp?storyID=8586
2015-04-09,6.5,https://www.carbonnews.co.nz/story.asp?storyID=8588
2015-04-10,6.5,https://www.carbonnews.co.nz/story.asp?storyID=8587
2015-04-13,6.52,https://www.carbonnews.co.nz/story.asp?storyID=8598
2015-04-14,6.6,https://www.carbonnews.co.nz/story.asp?storyID=8603
2015-04-15,6.6,https://www.carbonnews.co.nz/story.asp?storyID=8604
2015-04-16,6.55,https://www.carbonnews.co.nz/story.asp?storyID=8605
2015-04-20,6.3,https://www.carbonnews.co.nz/story.asp?storyID=8615
2015-04-21,6.27,https://www.carbonnews.co.nz/story.asp?storyID=8622
2015-04-24,6.0,https://www.carbonnews.co.nz/story.asp?storyID=8624
2015-04-28,6.07,https://www.carbonnews.co.nz/story.asp?storyID=8637
2015-05-04,6.0,https://www.carbonnews.co.nz/story.asp?storyID=8655
2015-05-05,6.07,https://www.carbonnews.co.nz/story.asp?storyID=8661
2015-05-06,6.0,https://www.carbonnews.co.nz/story.asp?storyID=8662
2015-05-08,5.95,https://www.carbonnews.co.nz/story.asp?storyID=8664
2015-05-11,5.95,https://www.carbonnews.co.nz/story.asp?storyID=8682
2015-05-14,6.05,https://www.carbonnews.co.nz/story.asp?storyID=8683
2015-05-15,5.0,https://www.carbonnews.co.nz/story.asp?storyID=8684
2015-05-18,5.75,https://www.carbonnews.co.nz/story.asp?storyID=8703
2015-05-20,5.4,https://www.carbonnews.co.nz/story.asp?storyID=8708
2015-05-21,5.35,https://www.carbonnews.co.nz/story.asp?storyID=8709
2015-05-25,5.15,https://www.carbonnews.co.nz/story.asp?storyID=8720
2015-06-04,5.27,https://www.carbonnews.co.nz/story.asp?storyID=8741
2015-06-05,5.4,https://www.carbonnews.co.nz/story.asp?storyID=8742
2015-06-08,5.4,https://www.carbonnews.co.nz/story.asp?storyID=8747
2015-06-09,5.3,https://www.carbonnews.co.nz/story.asp?storyID=8762
2015-06-10,5.55,https://www.carbonnews.co.nz/story.asp?storyID=8763
2015-06-11,6.05,https://www.carbonnews.co.nz/story.asp?storyID=8764
2015-06-15,6.7,https://www.carbonnews.co.nz/story.asp?storyID=8775
2015-06-16,7.0,https://www.carbonnews.co.nz/story.asp?storyID=8779
2015-06-17,7.1,https://www.carbonnews.co.nz/story.asp?storyID=8789
2015-06-19,6.8,https://www.carbonnews.co.nz/story.asp?storyID=8788
2015-06-22,6.75,https://www.carbonnews.co.nz/story.asp?storyID=8787
2015-06-23,6.85,https://www.carbonnews.co.nz/story.asp?storyID=8795
2015-06-26,6.7,https://www.carbonnews.co.nz/story.asp?storyID=8796
2015-06-29,6.6,https://www.carbonnews.co.nz/story.asp?storyID=8804
2015-06-30,6.65,https://www.carbonnews.co.nz/story.asp?storyID=8813
2015-07-01,6.8,https://www.carbonnews.co.nz/story.asp?storyID=8814
2015-07-02,6.87,https://www.carbonnews.co.nz/story.asp?storyID=8815
2015-07-03,6.8,https://www.carbonnews.co.nz/story.asp?storyID=8816
2015-07-06,6.87,https://www.carbonnews.co.nz/story.asp?storyID=8824
2015-07-07,6.8,https://www.carbonnews.co.nz/story.asp?storyID=8832
2015-07-08,6.85,https://www.carbonnews.co.nz/story.asp?storyID=8838
2015-07-09,6.9,https://www.carbonnews.co.nz/story.asp?storyID=8844
2015-07-10,6.8,https://www.carbonnews.co.nz/story.asp?storyID=8845
2015-07-13,7.05,https://www.carbonnews.co.nz/story.asp?storyID=8852
2015-07-14,7.05,https://www.carbonnews.co.nz/story.asp?storyID=8864
2015-07-20,7.02,https://www.carbonnews.co.nz/story.asp?storyID=8869
2015-07-22,8.0,https://www.carbonnews.co.nz/story.asp?storyID=8884
2015-07-24,7.0,https://www.carbonnews.co.nz/story.asp?storyID=8886
2015-07-29,6.85,https://www.carbonnews.co.nz/story.asp?storyID=8901
2015-07-31,6.8,https://www.carbonnews.co.nz/story.asp?storyID=8904
